name,priority,deadline_in_seconds,burst_time,cpu,gpu,ram
Operations_Export_1,Low,56.2,12.4,4,1,2
DataScience_ModelTrain_2,Low,60.3,25.0,4,2,8
Finance_Report_3,High,26.1,13.8,2,0,2
Operations_Sync_4,Low,46.7,16.4,2,0,2
Marketing_Inference_5,Medium,59.6,13.0,1,2,2
Finance_Inference_6,Medium,95.7,23.0,1,1,2
Finance_Report_7,Medium,112.6,16.9,4,0,16
Marketing_Inference_8,Low,73.1,13.0,1,1,8
Finance_Audit_9,High,33.6,9.2,2,0,2
Finance_Export_10,Low,101.8,10.2,1,0,2
Engineering_Sync_11,Critical,15.2,6.5,2,0,8
Finance_Export_12,Low,55.3,19.8,1,0,2
Marketing_Audit_13,Medium,89.6,11.0,1,0,2
Engineering_Cleanup_14,Medium,83.0,14.1,4,2,4
Marketing_Inference_15,High,29.8,13.2,1,1,4
Finance_Cleanup_16,Low,97.7,16.6,8,0,16
HR_Export_17,High,35.1,14.8,4,1,2
Operations_Export_18,High,23.9,11.3,2,0,4
Marketing_ModelTrain_19,Critical,15.3,6.4,4,1,1
Marketing_Backup_20,Medium,81.5,10.3,4,0,2
Operations_Sync_21,Medium,88.7,11.3,2,0,4
Engineering_Report_22,Low,94.8,10.6,2,2,4
Operations_Sync_23,Low,95.7,16.7,1,0,2
Finance_Inference_24,Critical,21.8,9.1,2,1,2
Operations_Sync_25,Low,59.2,13.1,8,0,2
Operations_Cleanup_26,Medium,78.6,25.0,4,1,8
Marketing_Sync_27,Low,73.6,20.7,6,0,8
Engineering_Audit_28,High,19.8,9.3,1,0,8
Engineering_Export_29,Low,78.0,9.2,4,0,4
Finance_Audit_30,Low,53.7,22.0,6,1,4
Marketing_Sync_31,High,26.3,11.7,1,0,4
Engineering_Cleanup_32,Low,62.9,8.9,6,0,4
Engineering_Sync_33,Low,77.1,20.6,2,0,8
Operations_Inference_34,Medium,99.2,20.9,4,1,4
Engineering_Export_35,High,27.9,11.8,2,0,8
HR_Inference_36,Low,60.8,24.4,1,1,2
Engineering_Inference_37,Low,100.9,21.9,2,1,8
Finance_Audit_38,Critical,17.3,5.4,4,0,4
Marketing_Backup_39,Low,81.6,24.6,1,0,4
HR_Sync_40,Low,74.7,19.2,2,2,4
HR_Inference_41,Low,105.4,15.4,1,1,2
HR_Sync_42,Critical,5.2,2.1,6,0,4
DataScience_ModelTrain_43,Low,81.5,15.5,2,1,4
HR_Sync_44,Medium,85.5,21.8,1,0,4
Operations_Inference_45,High,38.9,14.0,2,2,2
Operations_Cleanup_46,Critical,23.6,9.1,1,0,2
DataScience_Sync_47,High,24.3,10.1,1,2,16
Operations_Export_48,Critical,11.6,9.0,1,1,4
Marketing_Backup_49,Low,99.0,16.9,1,0,1
Operations_Export_50,Medium,78.2,17.3,2,0,4
DataScience_Export_51,Medium,94.3,20.5,1,1,2
Finance_Sync_52,Medium,104.9,17.7,4,0,4
Operations_Export_53,Low,99.5,24.4,4,0,2
Marketing_Report_54,Medium,42.5,12.4,4,0,2
Finance_Export_55,Medium,104.8,20.0,2,0,8
